location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Western Sahara,2020-05-11,0,0,597330.0,,,
Central African Republic,2020-04-01,0,0,4829764.0,3.655,661.24,1.0
Democratic Republic of Congo,2020-05-05,0,0,89561404.0,3.02,808.133,
Fiji,2020-06-08,0,0,896444.0,6.224,8702.975,2.3
Guinea-Bissau,2020-05-21,0,0,1967998.0,3.002,1548.675,
Zimbabwe,2020-04-05,0,0,14862927.0,2.822,1899.775,1.7
Sudan,2020-03-23,0,0,43849269.0,3.548,4466.507,0.8
El Salvador,2020-04-04,10,1,6486201.0,8.273,7292.458,1.3
Taiwan,2020-05-26,0,0,23816775.0,,,
Sint Maarten (Dutch part),2020-04-09,0,0,42882.0,,36327.232,
Grenada,2020-03-28,0,0,112519.0,7.304,13593.877,3.7
Sudan,2020-03-29,2,0,43849269.0,3.548,4466.507,0.8
Somalia,2020-05-30,0,0,15893219.0,2.731,,0.9
Georgia,2020-02-26,0,0,3989175.0,14.864,9745.079,2.6
Falkland Islands,2020-05-31,0,0,3483.0,,,
Finland,2020-02-09,0,0,5540718.0,21.228,40585.721,3.28
Algeria,2020-01-27,0,0,43851043.0,6.211,13913.839,1.9
Latvia,2020-04-27,8,0,1886202.0,19.754,25063.846,5.57
Malaysia,2020-01-15,0,0,32365998.0,6.293,26808.164,1.9
Montenegro,2020-06-03,0,0,628062.0,14.762,16409.288,3.861
Nigeria,2020-03-31,34,1,206139587.0,2.751,5338.454,
Cameroon,2020-03-17,0,0,26545864.0,3.165,3364.926,1.3
Northern Mariana Islands,2020-05-19,0,0,57557.0,,,
Greece,2020-05-01,15,1,10423056.0,20.396,24574.382,4.21
Qatar,2020-03-18,3,0,2881060.0,1.307,116935.6,1.2
Zimbabwe,2020-05-03,0,0,14862927.0,2.822,1899.775,1.7
Jersey,2020-05-17,5,0,101073.0,,,
Mauritius,2020-04-23,1,0,1271767.0,10.945,20292.745,3.4
Uganda,2020-04-28,0,0,45741000.0,2.168,1697.707,0.5
Iraq,2020-06-02,429,10,40222503.0,3.186,15663.986,1.4
Costa Rica,2020-04-09,19,0,5094114.0,9.468,15524.995,1.13
Israel,2020-03-29,584,2,8655541.0,11.733,33132.32,2.99
Macedonia,2020-04-08,29,5,2083380.0,13.26,13111.214,4.28
Malaysia,2020-01-30,0,0,32365998.0,6.293,26808.164,1.9
Greenland,2020-05-16,0,0,56772.0,,,
Saint Kitts and Nevis,2020-04-30,0,0,53192.0,,24654.385,2.3
Russia,2020-01-15,0,0,145934460.0,14.178,24765.954,8.05
Liechtenstein,2020-03-30,1,0,38137.0,,,2.397
Equatorial Guinea,2020-06-06,0,0,1402985.0,2.846,22604.873,2.1
Bosnia and Herzegovina,2020-04-26,65,2,3280815.0,16.569,11713.895,3.5
Bhutan,2020-04-07,0,0,771612.0,4.885,8708.597,1.7
Belgium,2020-01-14,0,0,11589616.0,18.571,42658.576,5.64
Lesotho,2020-05-31,0,0,2142252.0,4.506,2851.153,
Mauritius,2020-05-06,0,0,1271767.0,10.945,20292.745,3.4
Mauritania,2020-04-19,0,0,4649660.0,3.138,3597.633,
Greenland,2020-06-08,0,0,56772.0,,,
Guinea-Bissau,2020-04-28,20,0,1967998.0,3.002,1548.675,
India,2020-04-24,1684,37,1380004385.0,5.989,6426.674,0.53
Trinidad and Tobago,2020-03-26,3,1,1399491.0,10.014,28763.071,3.0
Vatican,2020-03-19,0,0,809.0,,,
Gambia,2020-06-01,0,0,2416664.0,2.339,1561.767,1.1
Russia,2020-05-29,8371,174,145934460.0,14.178,24765.954,8.05
Cameroon,2020-04-28,0,2,26545864.0,3.165,3364.926,1.3
Tunisia,2020-04-19,2,0,11818618.0,8.001,10849.297,2.3
Luxembourg,2020-04-17,71,0,625976.0,14.312,94277.965,4.51
World,2020-05-14,85950,5187,7794798729.0,8.696,15469.207,2.705
Greenland,2020-05-29,1,0,56772.0,,,
Comoros,2020-05-28,0,1,869595.0,2.963,1413.89,2.2
Guernsey,2020-05-10,0,0,67052.0,,,
Austria,2020-05-19,25,0,9006400.0,19.202,45436.686,7.37
Austria,2020-04-14,106,18,9006400.0,19.202,45436.686,7.37
Paraguay,2020-03-07,0,0,7132530.0,6.378,8827.01,1.3
Sweden,2020-02-05,0,0,10099270.0,19.985,46949.283,2.22
Mauritania,2020-05-16,13,1,4649660.0,3.138,3597.633,
Ukraine,2020-04-16,789,18,43733759.0,16.462,7894.393,8.8
Sint Maarten (Dutch part),2020-06-09,0,0,42882.0,,36327.232,
Japan,2020-02-29,20,0,126476458.0,27.049,39002.223,13.05
Brazil,2020-01-01,0,0,212559409.0,8.552,14103.452,2.2
Faeroe Islands,2020-05-02,0,0,48865.0,,,
Egypt,2020-04-20,112,15,102334403.0,5.159,10550.206,1.6
Tunisia,2020-04-24,17,0,11818618.0,8.001,10849.297,2.3
Senegal,2020-05-16,121,2,16743930.0,3.008,2470.58,
Denmark,2020-04-20,142,9,5792203.0,19.677,46682.515,2.5
Cambodia,2020-04-28,0,0,16718971.0,4.412,3645.07,0.8
French Polynesia,2020-04-09,4,0,280904.0,7.775,,
Taiwan,2020-03-16,0,0,23816775.0,,,
Central African Republic,2020-03-17,0,0,4829764.0,3.655,661.24,1.0
Zambia,2020-06-07,43,0,18383956.0,2.48,3689.251,2.0
Sweden,2020-05-03,562,16,10099270.0,19.985,46949.283,2.22
Guinea,2020-05-24,109,1,13132792.0,3.135,1998.926,0.3
Guernsey,2020-03-29,3,0,67052.0,,,
Kyrgyzstan,2020-05-18,78,0,6524191.0,4.489,3393.474,4.5
Sweden,2020-04-05,365,40,10099270.0,19.985,46949.283,2.22
Belgium,2020-02-21,0,0,11589616.0,18.571,42658.576,5.64
Kenya,2020-06-01,74,1,53771300.0,2.686,2993.028,1.4
Equatorial Guinea,2020-05-03,0,0,1402985.0,2.846,22604.873,2.1
Uganda,2020-05-10,15,0,45741000.0,2.168,1697.707,0.5
Armenia,2020-01-15,0,0,2963234.0,11.232,8787.58,4.2
Singapore,2020-04-22,1111,0,5850343.0,12.922,85535.383,2.4
Portugal,2020-04-15,514,32,10196707.0,21.502,27936.896,3.39
